68815941	600001	0	0.25	60	      7.0000	1	11500	0	5534	124000	3.00	0.00	33.00	1	2	3.00	9	4	0	0	1	0	0	0	10	1	1	2
70491617	300001	450000	0.38	48	      3.0000	1	7390	0	0	43173	5.00	0.00	38.00	1	2	3.00	9	9	0	0	0	0	0	3	10	1	1	1
68474926	400001	478400	0.23	48	      1.0000	2	9253	0	0	1	4.00	0.00	31.00	2	2	4.00	1	3	7	4	1	0	1	1	50	1	1	1
69845858	937000	937750	0.25	48	      1.0000	1	21863	0	0	72216	1.00	0.00	43.00	1	2	10.00	9	3	6	0	0	1	0	0	10	1	1	1
68451280	101000	0	0.65	30	      5.0000	1	4023	0	0	46700	17.00	31.00	40.00	1	2	6.00	9	9	0	0	0	0	0	1	10	1	1	1
70149386	155000	0	0.65	36	      5.0000	1	5313	17648	9425	0	0.00	0.00	57.00	1	1	0.00	1	9	22	1	1	0	0	0	80	9	1	1
69320442	51000	0	0.85	24	      5.0000	1	2558	0	0	0	2.00	0.00	47.00	1	4	2.00	9	9	21	0	1	0	1	2	80	9	2	1
68715608	100000	0	0.33	12	      7.0000	2	8663	2000	0	1	0.00	0.00	42.00	2	2	0.00	1	9	3	1	1	0	1	0	50	1	1	1
70004189	250000	0	0.3	42	      7.0000	1	6702	3507	17751	65000	27.00	0.00	46.00	1	2	19.00	1	3	4	1	1	0	1	0	30	1	1	1
68970636	450000	545372	0.23	60	      1.0000	1	8535	437000	0	81885	7.00	0.00	50.00	1	2	15.00	1	3	16	0	1	0	1	0	10	1	1	1
70383301	500000	0	0.524	60	      5.0000	1	10953	0	0	47000	0.00	7.00	48.00	1	2	5.00	9	9	0	0	0	0	0	0	10	1	1	1
68218783	270000	570367	0.24	36	      1.0000	1	8148	386666	0	37000	2.00	0.00	22.00	1	1	22.00	1	9	4	0	1	0	0	0	10	1	1	1
69782406	301000	0	0.67	48	      5.0000	1	8287	0	2000	65500	27.00	0.00	46.00	1	4	11.00	9	9	0	2	0	0	0	0	30	1	2	1
68576471	200000	0	0.27	36	      7.0000	1	6095	0	3200	49000	14.00	0.00	37.00	1	4	9.00	9	3	0	0	0	0	0	0	30	1	1	1
69521415	226000	0	0.665	42	      5.0000	1	6883	0	9321	57000	33.00	0.00	52.00	1	4	7.00	9	9	0	2	0	0	0	0	10	1	2	2
