0,1,11,20,3000,0.3,0.5,2,0,1,1,410,1,1,36,2,17
0,0,19,27,4000,1.5,7.2,2,0,3,1,0,2,2,36,2,7
0,0,11,32,500,4,32.5,1,0,1,1,45,1,3,12,2,21
0,1,10,19,1000,19.7,1.9,2,0,1,1,90,1,1,12,2,17
0,0,12,34,1200,2.8,4.3,1,1,3,1,0,1,2,12,1,26
0,1,6,50,1000,2.6,3,1,0,3,1,90,1,1,12,2,10
0,0,35,31,4000,1,1.9,2,0,3,1,0,2,2,36,1,7
0,1,4,28,500,0,9.3,2,1,1,1,0,1,2,12,1,21
0,1,14,46,3000,3.3,3.8,2,3,4,1,0,2,2,36,1,10
0,1,24,52,5000,10.1,1.8,2,2,3,1,0,1,2,36,1,26
0,0,34,33,4000,1.8,7.1,2,0,3,1,0,1,2,36,1,18
0,0,18,29,1200,4.8,10.2,2,2,1,1,125,1,2,18,2,17
0,0,12,51,2000,1.5,10.3,2,0,1,1,176,2,2,12,1,21
0,0,18,54,1400,14,2.6,2,0,3,1,0,1,2,18,1,26
0,0,12,43,2500,11.1,11.6,2,2,2,1,0,1,2,12,1,17
0,0,12,34,1000,6.9,0.1,2,3,1,1,90,2,2,12,2,17
0,1,14,44,2500,7.9,0.6,1,0,1,1,0,1,1,24,1,10
0,1,17,24,2250,2.4,2.8,1,0,3,1,0,2,2,36,2,26
0,0,12,38,600,4.8,4.8,2,2,3,1,0,2,2,12,1,26
0,0,24,54,5000,31.1,2.1,2,0,1,1,540,1,2,24,1,17
0,1,27,23,4000,10.8,4.2,2,0,3,1,538,1,1,36,2,18
0,0,27,27,5000,1.1,4.5,2,0,3,1,663,1,1,36,1,26
0,0,12,47,700,19,5.3,1,4,2,1,0,2,2,12,2,21
0,0,29,43,4000,20,1.4,1,1,3,1,538,1,2,36,1,18
0,0,23,27,2000,23.2,0.5,2,0,3,1,0,1,1,24,2,24
0,1,6,60,1500,11,5.7,2,0,3,1,0,1,2,24,1,11
0,0,20,34,2000,11.9,6.8,2,3,4,1,0,2,2,24,1,7
0,0,10,37,1200,11.8,5.8,2,0,3,1,0,2,2,12,1,21
0,0,12,26,500,0.4,6.5,1,0,3,1,0,1,2,12,1,21
0,0,12,23,500,15.7,1.6,1,0,3,1,46,1,1,12,2,26
